training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/rep/critic_loss,training/rep/q_max,training/rep/q_mean,training/rep/q_min,training/rep/v_max,training/rep/v_mean,training/rep/v_min,training/rep/value_loss,training/value/eikonal_loss,training/value/td_value_loss,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/rep/critic_loss,validation/rep/q_max,validation/rep/q_mean,validation/rep/q_min,validation/rep/v_max,validation/rep/v_mean,validation/rep/v_min,validation/rep/value_loss,validation/value/eikonal_loss,validation/value/td_value_loss,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,step
266.046,0.17027986,-7.5937295,0.06055534,1.0,3.1146097,-3.3448923,102.2896,1.0431601,0.8783995,-27.690487,-71.74548,1.5393372,-27.261517,-71.45918,0.13635164,0.21429856,0.2219822,0.45508307,-34.915565,-96.97046,0.43628076,282.12943,0.20823392,-7.697192,0.08642109,1.0,1.4625031,0.67668927,-30.18787,-72.0567,2.2988806,-29.758429,-71.77546,0.2652456,0.27096283,0.28911215,0.39677337,-38.059967,-97.181206,0.560075,660000
279.5466,0.17846355,-7.5923276,0.06020484,1.0,2.3760533,-2.3938208,93.81147,1.0421815,0.34272134,-29.054592,-71.923874,1.7074299,-28.630577,-71.64761,0.12227206,0.20049866,0.15535477,0.47456208,-36.322937,-95.89081,0.35585344,275.2342,0.17459719,-7.711872,0.0900909,1.0,1.6908696,1.4324403,-28.085594,-74.5467,2.6363535,-27.65926,-74.33589,0.23461053,0.26997995,0.22736597,0.29002166,-35.218727,-97.21199,0.49734592,690000
247.69075,0.17622186,-7.59426,0.06068808,1.0,10.146097,-2.9842362,103.65082,1.0596199,1.4949505,-27.084665,-75.040695,2.318077,-26.64149,-74.750435,0.16449372,0.23318532,0.15904921,0.44914502,-33.75533,-97.538315,0.39223453,280.03265,0.16040191,-7.7091074,0.08939977,1.0,1.3448792,1.6083212,-28.896065,-73.403305,2.8411484,-28.4962,-73.13656,0.20983416,0.36015716,0.2741294,0.36867076,-36.584194,-96.42534,0.6342865,720000
261.0927,0.15638056,-7.599857,0.0620872,1.0,3.2925394,-14.83823,112.28912,1.145031,1.6128328,-28.207249,-72.78719,2.024438,-27.780405,-72.50726,0.13955504,0.18612282,0.14093947,0.6112143,-35.109158,-98.33536,0.3270623,284.25333,0.19688693,-7.734258,0.095687404,1.0,1.8260385,1.5906441,-27.86583,-73.15798,2.8930368,-27.434631,-72.88704,0.26052052,0.40579614,0.37291503,0.47698644,-35.358486,-95.73024,0.7787112,750000
267.276,0.18873146,-7.587846,0.059084393,1.0,6.144725,-4.1076865,103.31436,1.0556226,0.15599549,-28.744244,-73.10801,1.8119602,-28.362717,-72.836426,0.14337948,0.193248,0.12918425,0.4825701,-35.96093,-98.29494,0.32243225,277.53943,0.19860803,-7.6926675,0.0852898,1.0,1.6787851,3.2383637,-28.164402,-75.33917,3.246257,-27.727627,-75.05853,0.23203775,0.26161897,0.2835927,0.36330956,-35.360157,-96.42346,0.5452117,780000
257.36945,0.16875902,-7.591316,0.059952,1.0,4.420114,-2.5494986,104.35228,1.1952459,0.0,-28.472984,-75.83342,2.0540843,-28.048939,-75.58905,0.12658635,0.29371622,0.20446065,0.293266,-35.74375,-94.120636,0.49817687,271.27356,0.19407526,-7.6921525,0.085161045,1.0,1.9797426,2.5429924,-28.709692,-73.67126,3.5001388,-28.270727,-73.40438,0.3112514,0.3577353,0.37340978,0.43876296,-35.88221,-95.911545,0.7311451,810000
264.1927,0.18501896,-7.60043,0.06223047,1.0,4.4349065,-3.7862225,114.18843,1.1099954,1.2109265,-29.595642,-76.01149,2.2441225,-29.185123,-75.76614,0.15072933,0.19873686,0.1637738,0.2730497,-37.059174,-97.43781,0.36251068,267.1108,0.15177414,-7.7026033,0.087773845,1.0,1.8290484,1.4245629,-28.446817,-73.88214,2.4771583,-28.065311,-73.8083,0.32870302,0.32248878,0.3557955,0.28816283,-35.55073,-95.63196,0.6782843,840000
273.36163,0.20469391,-7.5763655,0.05621429,1.0,3.055084,-6.1795707,95.330826,1.034169,0.31615663,-27.187836,-75.9256,1.7148604,-26.779913,-75.68131,0.14470315,0.17232072,0.12161574,0.30672663,-33.886086,-97.41979,0.29393646,262.18994,0.17682064,-7.7053175,0.08845228,1.0,1.8723099,2.0000038,-28.17852,-73.886925,4.0923586,-27.764448,-73.7014,0.30420604,0.32763422,0.23124847,0.5999551,-34.78686,-96.85852,0.5588827,870000
289.2163,0.22742632,-7.57741,0.056475475,1.0,2.725943,-2.783574,111.1767,1.9349339,0.6040647,-28.7303,-72.77109,1.6870728,-28.302204,-72.494125,0.12999907,0.21533976,0.2155262,0.4185003,-35.677475,-98.04349,0.43086594,271.99097,0.20265391,-7.704399,0.08822277,1.0,1.8677081,1.8127518,-28.753502,-71.821365,2.7126162,-28.36359,-71.54613,0.3622253,0.3216264,0.302155,0.40206063,-35.927013,-96.54145,0.6237814,900000
274.38895,0.19195358,-7.571578,0.055017456,1.0,6.0791235,-28.462639,150.52682,1.3926115,0.83589447,-28.355381,-74.37566,3.3848634,-27.942663,-74.2992,0.1415985,0.18092994,0.15594436,0.32576948,-34.628426,-95.46643,0.3368743,256.08337,0.13872042,-7.7112703,0.08994064,1.0,1.8852522,0.86082816,-29.546413,-73.020645,2.6521544,-29.107365,-72.75143,0.3441502,0.31417212,0.36468217,0.46912,-36.980724,-95.300385,0.6788543,930000
269.8238,0.19483563,-7.5782013,0.056673203,1.0,3.8254247,-3.320453,107.784355,1.2794048,0.40305126,-29.193752,-75.406334,2.389258,-28.761822,-75.15759,0.13378909,0.21338591,0.13631459,0.5047401,-35.510803,-95.88521,0.3497005,276.18518,0.16571367,-7.7298045,0.094574064,1.0,1.9469455,1.3542628,-29.9217,-75.36045,2.509309,-29.547997,-75.11503,0.3596409,0.36502555,0.4909049,0.25678083,-37.413643,-97.62889,0.85593045,960000
253.17468,0.13982904,-7.5845184,0.058252648,1.0,2.362753,-3.1135616,85.673096,1.0455695,0.6852931,-29.422169,-76.138855,2.1340876,-29.013556,-75.890594,0.13126498,0.21757665,0.16068219,0.40576282,-36.19084,-96.52592,0.37825882,284.32162,0.20521924,-7.704284,0.08819407,1.0,1.5527575,1.1545019,-28.81946,-74.221245,1.875473,-28.424847,-73.96245,0.23787956,0.29034397,0.25952876,0.43550894,-35.680073,-96.36263,0.54987276,990000
