training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/action_invariance_loss,training/critic/backup_loss,training/critic/backup_optim_loss,training/critic/biggest_diff_in_dist,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/critic_loss,training/critic/dist,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/phi_mag,training/critic/psi_s_mag,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/action_invariance_loss,validation/critic/backup_loss,validation/critic/backup_optim_loss,validation/critic/biggest_diff_in_dist,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/critic_loss,validation/critic/dist,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/phi_mag,validation/critic/psi_s_mag,step
1.7647085,-7.6470995,0.76471,0.07389794,0.65351135,0.99999845,-0.65351135,1.0,5.5198987e-05,-0.3407097,0.030242622,0.7949256,0.99609375,0.21484375,-0.3406545,2.1851633,-2.1851635,-2.1917346,-0.5094567,4.300979,4.5757666,0.020169355,-0.019623937,0.3417571,1.7688498,-7.688513,0.7688513,0.084251076,0.69524884,0.99999857,-0.69524884,1.0,0.007001608,-0.078591794,0.02941136,1.0756154,0.99609375,0.125,-0.071590185,1.6251023,-1.6251023,-1.6291621,-0.5898341,3.8679302,4.178918,630000
1.762005,-7.6200647,0.7620065,0.067139156,0.65262794,0.99999845,-0.65262794,1.0,5.9247937e-05,-0.3089621,0.005809605,0.6220522,0.99609375,0.22265625,-0.30890286,2.1301994,-2.1301994,-2.13652,-0.51843,4.2011385,4.507068,0.021788284,-0.03052233,0.34347624,1.7737355,-7.7373695,0.77373695,0.09646535,0.742703,0.9999986,-0.742703,1.0,0.010185673,-0.24724457,0.027523011,1.4562057,0.99609375,0.12890625,-0.2370589,1.9500847,-1.9500848,-1.9552965,-0.6210561,4.1283283,4.453762,660000
1.7652042,-7.652055,0.7652055,0.0751367,0.7217225,0.9999986,-0.7217225,1.0,7.964152e-05,-0.18428743,0.0057733357,0.7467734,0.99609375,0.1484375,-0.18420778,1.8002317,-1.8002318,-1.8050134,-0.58090895,4.0012836,4.304981,0.083132535,-0.023712827,0.425187,1.7683511,-7.683525,0.7683525,0.08300424,0.7357463,0.9999986,-0.7357463,1.0,0.01554242,-0.13965806,0.026316091,2.384534,0.99609375,0.109375,-0.124115646,1.81418,-1.8141801,-1.8192178,-0.52951896,3.9694378,4.2774115,690000
1.7590297,-7.590312,0.7590312,0.059700973,0.6890643,0.99999857,-0.6890643,1.0,6.7916306e-05,-0.30321392,0.01902607,0.557758,0.99609375,0.16015625,-0.303146,2.0613513,-2.0613513,-2.0672867,-0.5477642,4.2105217,4.4989862,0.02662913,-0.04832663,0.33639467,1.7667449,-7.667462,0.7667462,0.07898849,0.7229208,0.9999986,-0.7229208,1.0,0.0048854584,-0.11708741,0.028543174,2.4517097,0.99609375,0.12890625,-0.11220195,1.765176,-1.765176,-1.7699505,-0.5476216,4.0057707,4.29661,720000
1.7646058,-7.646072,0.7646072,0.07364093,0.6853019,0.9999985,-0.6853019,1.0,0.000101048245,-0.2088849,0.0060824007,0.5887007,0.99609375,0.1796875,-0.20878385,1.9052398,-1.9052399,-1.9106846,-0.5168069,4.0622334,4.3388543,0.031154526,-0.025018731,0.34268484,1.7656285,-7.6562986,0.7656299,0.07619771,0.69855875,0.99999857,-0.69855875,1.0,0.005710489,-0.02837955,0.021284161,1.8131958,0.99609375,0.109375,-0.022669062,1.6120378,-1.6120379,-1.6163478,-0.5129733,3.8971672,4.1852922,750000
1.7621236,-7.621252,0.76212513,0.06743589,0.6719144,0.9999985,-0.6719144,1.0,0.00011833126,-0.3545305,0.0049195588,0.42241895,0.99609375,0.1953125,-0.35441217,2.2045467,-2.2045467,-2.21118,-0.5129459,4.379854,4.6470003,0.019407898,-0.03234836,0.342933,1.7767248,-7.7672634,0.77672637,0.103938915,0.67626935,0.99999845,-0.67626935,1.0,0.006491633,-0.073288254,0.042750873,1.8784636,0.99609375,0.125,-0.06679662,1.6584704,-1.6584704,-1.6628898,-0.53147566,3.9341161,4.2391267,780000
1.7619452,-7.6194677,0.7619468,0.06698994,0.69168687,0.9999985,-0.69168687,1.0,7.058849e-05,-0.2877515,0.0067561567,0.7930961,0.99609375,0.16796875,-0.2876809,2.0245502,-2.0245502,-2.0302858,-0.56193954,4.2295327,4.51954,0.020372357,-0.06564253,0.418991,1.7759783,-7.759796,0.77597964,0.10207203,0.76222456,0.9999987,-0.76222456,1.0,0.017523985,-0.1532017,0.08503853,3.8791008,0.99609375,0.12109375,-0.13567771,1.9041609,-1.904161,-1.9093893,-0.57092524,4.2191353,4.5384073,810000
1.7647755,-7.647771,0.76477706,0.07406561,0.6574038,0.99999845,-0.6574038,1.0,0.00010066194,-0.2327196,0.02265504,1.160325,0.99609375,0.15625,-0.23261894,1.9700533,-1.9700532,-1.9758046,-0.5034284,4.213213,4.481351,0.023683952,-0.032394767,0.45087793,1.7720788,-7.720802,0.7720802,0.092323445,0.6986604,0.9999985,-0.6986604,1.0,0.017765686,-0.17289577,0.047071755,2.304913,0.99609375,0.12109375,-0.15513009,1.8347335,-1.8347335,-1.8395942,-0.59524107,4.109718,4.396744,840000
1.7645056,-7.64507,0.76450706,0.07339059,0.6561444,0.9999985,-0.6561444,1.0,0.00013125705,-0.29238105,0.012545049,0.6634567,0.99609375,0.1640625,-0.2922498,2.0631747,-2.0631747,-2.0691416,-0.5415744,4.240511,4.461647,0.043689743,-0.04833996,0.4363138,1.7749436,-7.7494516,0.77494514,0.09948586,0.6988284,0.9999985,-0.6988284,1.0,0.008787855,-0.05408574,0.021817014,1.7913681,0.99609375,0.1328125,-0.045297883,1.5994135,-1.5994136,-1.6034487,-0.57038426,3.8953629,4.1490793,870000
1.7620884,-7.6209,0.76208997,0.06734797,0.6758909,0.99999845,-0.6758909,1.0,0.0001345726,-0.4088073,0.029123694,1.1526515,0.99609375,0.21484375,-0.40867272,2.358732,-2.3587322,-2.3660698,-0.48755503,4.581342,4.820146,0.03582259,-0.069710314,0.44310886,1.773195,-7.7319636,0.77319634,0.095113814,0.77610916,0.9999987,-0.77610916,1.0,0.005220972,-0.10359736,0.055434987,1.3829801,0.99609375,0.09765625,-0.098376386,1.67768,-1.67768,-1.6818706,-0.6090654,4.043807,4.313199,900000
1.7660444,-7.6604595,0.7660459,0.07723782,0.6746491,0.99999845,-0.6746491,1.0,9.602175e-05,-0.2240155,0.022869363,0.6370627,0.99609375,0.1875,-0.22391948,1.9381545,-1.9381543,-1.9436961,-0.5249727,4.169422,4.3930016,0.052423686,-0.028680427,0.4336537,1.7724607,-7.72462,0.772462,0.093277976,0.75750434,0.9999987,-0.75750434,1.0,0.011063896,-0.08733399,0.025299765,1.4056377,0.99609375,0.140625,-0.076270096,1.6655947,-1.6655947,-1.6696994,-0.61883813,3.9081364,4.1600285,930000
1.7614549,-7.6145654,0.7614565,0.06576429,0.6415173,0.99999845,-0.6415173,1.0,0.00014023726,-0.41884127,0.010245025,0.95362926,0.99609375,0.21484375,-0.41870102,2.3358884,-2.3358884,-2.3429606,-0.5324644,4.5412016,4.7679305,0.022964654,-0.031580985,0.4428437,1.7707666,-7.7076807,0.7707681,0.089043155,0.68378353,0.9999985,-0.68378353,1.0,0.008165445,-0.112277925,0.029584348,1.6716661,0.99609375,0.09765625,-0.104112476,1.7146957,-1.7146958,-1.7192842,-0.54466164,4.069947,4.3232307,960000
1.7608285,-7.6083016,0.76083016,0.064198345,0.59498125,0.9999983,-0.59498125,1.0,0.000109592394,-0.38851374,0.0057792664,0.5992166,0.99609375,0.23828125,-0.38840416,2.2815514,-2.2815511,-2.2885075,-0.5076233,4.5708895,4.7537737,0.060138818,-0.0331833,0.414222,1.7676315,-7.67633,0.767633,0.08120549,0.70042765,0.99999857,-0.70042765,1.0,0.008925915,-0.14843155,0.029099867,1.5718505,0.99609375,0.11328125,-0.13950564,1.8431482,-1.8431482,-1.8482313,-0.5469257,4.2220984,4.4352264,990000
