training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/rep/critic_loss,training/rep/q_max,training/rep/q_mean,training/rep/q_min,training/rep/v_max,training/rep/v_mean,training/rep/v_min,training/rep/value_loss,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/rep/critic_loss,validation/rep/q_max,validation/rep/q_mean,validation/rep/q_min,validation/rep/v_max,validation/rep/v_mean,validation/rep/v_min,validation/rep/value_loss,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,step
288.38043,0.14331917,-7.563049,0.05288522,1.0,2.512305,-4.1566997,109.06891,1.2799006,0.18169677,-27.837967,-74.35893,1.9428785,-27.37391,-74.1068,0.15447274,0.46847916,-28.7949,-111.99799,0.43822426,296.6004,0.14611477,-7.672229,0.080180146,1.0,1.4807036,1.2046225,-27.550571,-73.35417,2.2866936,-27.105148,-72.91147,0.21913931,0.93846023,-28.063757,-106.19647,0.5643773,480000
282.7247,0.11743358,-7.5740123,0.055626012,1.0,3.1113577,-2.6688519,96.48439,1.1364589,0.706658,-28.50683,-74.62237,1.7706552,-28.099377,-74.36876,0.12945583,0.33413285,-29.024359,-118.08444,0.32166404,323.5892,0.2063459,-7.6599503,0.07711062,1.0,1.4442463,0.6661521,-28.774323,-72.49898,1.5792589,-28.324533,-72.43219,0.21898843,1.3360299,-28.805742,-103.55362,0.40137988,500000
285.88165,0.14578979,-7.556535,0.051256686,1.0,3.579176,-2.8408983,116.38732,1.1977234,1.2331402,-27.327892,-73.12135,2.5961542,-26.906563,-72.85051,0.16304067,0.48953348,-27.89665,-115.31323,0.49010313,298.48752,0.1813442,-7.6712294,0.07993028,1.0,1.8852962,1.477251,-28.246357,-71.37259,3.0326457,-27.81752,-71.12688,0.21971004,0.9347799,-28.433083,-105.33801,0.63005066,520000
297.0361,0.16452083,-7.572591,0.055270717,1.0,8.296306,-3.3227696,135.23506,1.1311716,0.63449335,-29.03396,-74.66861,2.1989655,-28.640064,-74.41043,0.15153176,0.92817354,-29.640545,-115.88298,0.5896635,303.11426,0.14639102,-7.670068,0.079640016,1.0,1.549532,0.741838,-28.665735,-73.815956,1.6960745,-28.306248,-73.56179,0.24388081,0.71290827,-28.56357,-104.208435,0.72593534,540000
309.00305,0.15667534,-7.5667534,0.053811282,1.0,4.339153,-5.7920094,119.59029,1.1262815,0.9791616,-27.527866,-74.96489,2.262814,-27.113472,-74.7137,0.12033513,0.42812818,-28.049456,-115.47568,0.36009496,293.16437,0.10936052,-7.6741753,0.08066671,1.0,1.8040807,1.1115646,-27.697887,-73.469055,2.1919174,-27.315523,-73.45154,0.18725646,0.9587346,-27.297487,-105.93965,0.7385312,560000
280.37848,0.1085288,-7.563839,0.053082787,1.0,4.627146,-3.6385765,110.73388,1.1557057,0.31859195,-27.97847,-73.2363,1.8617573,-27.526623,-73.05561,0.12317878,0.38644016,-28.334208,-113.93266,0.24982747,292.0958,0.1603949,-7.692725,0.08530422,1.0,1.4220688,1.3778539,-27.110245,-71.24114,2.4003363,-26.696892,-70.95593,0.22705638,0.95475674,-27.44123,-102.110634,0.6834496,580000
312.05988,0.17450532,-7.563471,0.05299069,1.0,4.119981,-4.158342,110.87868,1.2680752,0.0,-27.84165,-72.16047,1.3232183,-27.415215,-72.00041,0.13524508,1.0455316,-28.491299,-130.3358,0.3103377,305.1564,0.12639126,-7.6695347,0.079506665,1.0,1.3980322,1.6801479,-28.599777,-73.80945,4.0574417,-28.163275,-73.64306,0.17269062,0.6142067,-29.062103,-103.42197,0.4553694,600000
312.36578,0.19090798,-7.5662136,0.0536764,1.0,3.3412383,-15.5077,119.34064,1.1768174,0.049999,-28.406536,-72.91352,1.755147,-27.985981,-72.59972,0.14020799,0.42714727,-28.41822,-111.42349,0.31540465,298.4489,0.1475653,-7.6681967,0.07917216,1.0,1.6208158,1.0770564,-28.110264,-71.33441,2.1421642,-27.639153,-71.48796,0.20895043,0.66175747,-28.176758,-106.774,0.5552684,620000
301.05054,0.15854517,-7.5569267,0.051354595,1.0,4.0260587,-2.7940376,112.0502,1.17994,5.7889233,-26.898344,-74.87718,7.0322256,-26.523106,-74.62375,0.14955445,0.25445926,-27.795044,-122.892365,0.44905573,283.8665,0.09633137,-7.6526,0.07527292,1.0,1.5832121,0.3626436,-27.380968,-72.220856,2.9877276,-26.962612,-71.94293,0.2272395,0.6253774,-27.942938,-110.225586,1.2591695,640000
301.24023,0.13237852,-7.5675783,0.054017585,1.0,3.300942,-8.353724,104.31329,1.057567,0.47688568,-29.252552,-75.49677,1.8129783,-28.874138,-75.27756,0.122792155,0.53175724,-29.96177,-112.50029,0.24918528,305.61658,0.1498248,-7.6649365,0.078357145,1.0,1.3822964,0.46380317,-29.496082,-72.32212,2.0135221,-29.070328,-71.96573,0.19639418,0.4969356,-29.314148,-99.39775,0.78064287,660000
