training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/action_invariance_loss,training/critic/backup_loss,training/critic/backup_optim_loss,training/critic/biggest_diff_in_dist,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/critic_loss,training/critic/dist,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/phi_mag,training/critic/psi_s_mag,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/action_invariance_loss,validation/critic/backup_loss,validation/critic/backup_optim_loss,validation/critic/biggest_diff_in_dist,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/critic_loss,validation/critic/dist,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/phi_mag,validation/critic/psi_s_mag,step
1.7666337,-7.666354,0.7666354,0.07871152,0.62325585,0.9999984,-0.62325585,1.0,0.00015798982,-0.068598524,0.007380612,0.77139866,0.99609375,0.30859375,-0.068440534,1.6749735,-1.6749735,-1.6796734,-0.47646844,2.490213,2.7394552,0.058940567,-0.03600292,0.46948218,1.7791471,-7.791486,0.7791486,0.10999444,0.68059206,0.99999857,-0.68059206,1.0,0.0006412613,0.07153678,0.016304754,1.2842002,0.99609375,0.2109375,0.07217804,1.3497608,-1.3497609,-1.3528327,-0.56642586,2.3202918,2.5758152,630000
1.7738657,-7.7386746,0.7738675,0.09679161,0.5839343,0.9999983,-0.5839343,1.0,0.00030671456,-0.20632291,0.005559191,1.1737833,0.99609375,0.30859375,-0.2060162,1.9492717,-1.9492717,-1.9550189,-0.48370236,2.6714227,2.9026465,0.031058945,-0.047648776,0.5607791,1.779568,-7.7956944,0.7795694,0.11104649,0.6707958,0.9999985,-0.6707958,1.0,0.0013563479,0.017375655,0.015323982,1.0120878,0.99609375,0.2109375,0.018732004,1.4474845,-1.4474845,-1.4509069,-0.57480055,2.2840114,2.556181,660000
1.7716353,-7.71637,0.77163696,0.091215454,0.63460207,0.9999984,-0.63460207,1.0,8.478406e-05,-0.18855266,0.02062355,1.4505345,0.99609375,0.2578125,-0.18846788,1.8862178,-1.8862178,-1.891625,-0.50734806,2.6515257,2.9077635,0.034109242,-0.02491139,0.39280328,1.7819369,-7.819383,0.7819383,0.11696872,0.6676819,0.9999985,-0.6676819,1.0,0.0014957867,0.124392256,0.008460224,0.9052639,0.99609375,0.25,0.12588805,1.3429956,-1.3429955,-1.3464143,-0.47120637,2.4836233,2.7374244,690000
1.7679422,-7.679437,0.76794374,0.08198232,0.62625825,0.9999984,-0.62625825,1.0,0.00012722451,-0.15997107,0.013335064,0.658978,0.99609375,0.27734375,-0.15984385,1.8137672,-1.8137672,-1.818902,-0.5043466,2.6399794,2.8650947,0.017379101,-0.01813927,0.3921676,1.7850862,-7.8508763,0.7850877,0.12484211,0.66468066,0.9999985,-0.66468066,1.0,0.0038938995,-0.0034365053,0.012726521,2.0998464,0.99609375,0.23828125,0.00045739417,1.5601175,-1.5601176,-1.5642475,-0.50695693,2.4796247,2.7145758,720000
1.7707956,-7.7079706,0.77079713,0.08911571,0.61482394,0.9999984,-0.61482394,1.0,0.00020716545,-0.12252109,0.01399444,0.56081,0.99609375,0.359375,-0.122313924,1.7839098,-1.7839098,-1.7890816,-0.4650752,2.631784,2.852407,0.029486908,-0.024602458,0.44957083,1.7799747,-7.7997637,0.77997637,0.112063885,0.61828005,0.9999984,-0.61828005,1.0,0.0047229347,-0.007860418,0.01239958,2.3043625,0.99609375,0.2421875,-0.0031374837,1.6018015,-1.6018016,-1.606145,-0.49415585,2.7626672,3.0235212,750000
1.7655647,-7.6556625,0.7655663,0.07603857,0.64268136,0.9999984,-0.64268136,1.0,0.00025903218,-0.17214426,0.004921168,0.450747,0.99609375,0.3125,-0.17188524,1.8605644,-1.8605642,-1.8659363,-0.49068287,2.7015553,2.9083452,0.023748241,-0.015501255,0.38276833,1.7818766,-7.8187823,0.78187823,0.11681856,0.59698576,0.9999983,-0.59698576,1.0,0.0022646408,0.037274465,0.013101025,1.3503,0.99609375,0.24609375,0.039539106,1.4853528,-1.4853528,-1.489286,-0.48238853,2.5997534,2.8284764,780000
1.7678819,-7.678833,0.76788336,0.0818313,0.6799962,0.9999985,-0.6799962,1.0,0.00020964735,-0.0013236534,0.008112807,0.84806967,0.99609375,0.265625,-0.001114006,1.5365524,-1.5365524,-1.5406649,-0.48787615,2.5409079,2.7862291,0.02469178,-0.030666307,0.40990978,1.7865283,-7.865297,0.7865297,0.12844719,0.70859826,0.99999857,-0.70859826,1.0,0.0026175224,-0.01603676,0.044125825,1.5506799,0.99609375,0.2421875,-0.013419238,1.7121418,-1.7121418,-1.716653,-0.56175226,2.6123052,2.8142288,810000
1.7658648,-7.658665,0.7658665,0.07678928,0.61048687,0.9999984,-0.61048687,1.0,8.408536e-05,-0.1439702,0.0056157857,0.968786,0.99609375,0.34765625,-0.14388612,1.8450495,-1.8450496,-1.8504633,-0.4644986,2.828671,3.03253,0.030604716,-0.022486178,0.37873983,1.7824919,-7.824933,0.7824933,0.11835617,0.6811882,0.99999857,-0.6811882,1.0,0.002835865,-0.00862165,0.017537476,1.2825646,0.99609375,0.23828125,-0.0057857847,1.5396404,-1.5396404,-1.5434853,-0.55918556,2.580092,2.7827446,840000
1.7679145,-7.6791625,0.76791626,0.081913605,0.5860501,0.9999983,-0.5860501,1.0,0.00014608033,-0.16463798,0.006758347,0.5886154,0.99609375,0.33984375,-0.1644919,1.8688724,-1.8688725,-1.8743912,-0.4615946,2.8565729,3.040285,0.032396503,-0.025136657,0.39231214,1.7834847,-7.8348627,0.78348625,0.12083854,0.6577705,0.9999985,-0.6577705,1.0,0.0013720744,0.009957211,0.012016209,1.1945677,0.99609375,0.23828125,0.011329286,1.5236425,-1.5236425,-1.5275395,-0.52985203,2.6687093,2.8730826,870000
1.7679143,-7.679159,0.76791596,0.08191283,0.57108694,0.9999983,-0.57108694,1.0,9.407356e-05,-0.23432282,0.006125927,1.3204207,0.99609375,0.39453125,-0.23422875,2.0760546,-2.0760546,-2.082564,-0.41604254,2.8847728,3.0380678,0.051065315,-0.025391296,0.5919234,1.778894,-7.788954,0.7788954,0.1093614,0.6849737,0.9999985,-0.6849737,1.0,0.0014340866,-0.0062733516,0.015434781,1.5485492,0.99609375,0.25390625,-0.004839265,1.5358528,-1.5358529,-1.5397502,-0.5420064,2.7526083,2.9437606,900000
1.7667027,-7.667045,0.76670456,0.07888424,0.55536926,0.99999815,-0.55536926,1.0,0.00018073051,-0.24421716,0.0038316548,0.66442966,0.99609375,0.33984375,-0.24403642,2.0525541,-2.0525541,-2.058872,-0.44146293,3.0162787,3.1495934,0.032006178,-0.052514896,0.48495543,1.7836258,-7.8362746,0.7836275,0.12119167,0.6095593,0.99999833,-0.6095593,1.0,0.0027118407,-0.13996826,0.018555656,1.1974252,0.99609375,0.21484375,-0.13725641,1.8502746,-1.8502746,-1.8554845,-0.5217519,2.872034,3.0378418,930000
1.7708372,-7.70839,0.770839,0.089220524,0.56581235,0.9999982,-0.56581235,1.0,0.00046071102,-0.23506108,0.0057795644,0.49234676,0.99609375,0.30078125,-0.23460037,2.0218341,-2.0218341,-2.0279756,-0.4556978,2.973731,3.071344,0.035375223,-0.028766919,0.52830756,1.780082,-7.8008366,0.78008366,0.112332135,0.6218711,0.99999833,-0.6218711,1.0,0.004760716,0.06036339,0.024957627,1.5934341,0.99609375,0.1875,0.06512411,1.4156535,-1.4156535,-1.4190959,-0.5378094,2.586606,2.6972208,960000
1.7660234,-7.660253,0.7660253,0.077186234,0.52698517,0.9999981,-0.52698517,1.0,9.274846e-05,-0.22941962,0.005166039,1.0011358,0.99609375,0.34765625,-0.22932687,2.04705,-2.04705,-2.053392,-0.4297832,3.1175556,3.1909628,0.014446778,-0.03546732,0.40450576,1.7816598,-7.8166146,0.7816615,0.11627667,0.6244118,0.9999984,-0.6244118,1.0,0.00721089,0.060078587,0.0094607435,0.9018135,0.99609375,0.17578125,0.06728948,1.3874241,-1.387424,-1.3908125,-0.5232873,2.8183677,2.960063,990000
